data_time,city_scope,city,year,period,total_inspected,total_failed,pass_rate,fail_rate,fail_reason,source_trace,data_mode
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,108757,1180,98.92,1.08,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,108200,1013,99.06,0.94,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,104322,765,99.27,0.73,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,88432,638,99.28,0.72,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,82732,630,99.24,0.76,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,83629,619,99.26,0.74,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,91067,622,99.32,0.68,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,71983,994,98.62,1.38,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,63543,944,98.51,1.49,違規廣告,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
2026-05-03T00:50:31.771001+08:00,Taipei,臺北市,1921,1921,54838,398,99.27,0.73,微生物,tsis.dbas.gov.taipei（臺北市食品衛生管理查驗工作，主計處）,real
